glass1:0.5981481481481482 K£º3NoiseK:4
pima:0.5984528301886792 K£º2NoiseK:2
glass0:0.6874384236453203 K£º4NoiseK:2
yeast1:0.6173899935814731 K£º2NoiseK:3
vehicle1:0.6812649417765697 K£º2NoiseK:5
glass0123vs456:0.9601325757575758 K£º4NoiseK:3
ecoli1:0.9032805429864252 K£º2NoiseK:5
newthyroid1:0.961111111111111 K£º2NoiseK:2
newthyroid2:0.9666666666666668 K£º3NoiseK:2
ecoli2:0.8837229437229437 K£º2NoiseK:3
glass6:0.9391891891891891 K£º2NoiseK:4
yeast3:0.926847841623785 K£º4NoiseK:3
ecoli3:0.9219672131147542 K£º2NoiseK:2
glass016v2:0.724047619047619 K£º2NoiseK:3
yeast1v7:0.6913634290925673 K£º2NoiseK:5
glass4:0.9506097560975609 K£º4NoiseK:2
glass5:0.9682926829268294 K£º3NoiseK:2
yeast2v8:0.7739130434782608 K£º2NoiseK:2
yeast4:0.8548453985039351 K£º3NoiseK:2
yeast6:0.9047604274975711 K£º2NoiseK:4
