glass1:0.7880886243386243 K£º4NoiseK:6
pima:0.7233892382948988 K£º4NoiseK:3
glass0:0.7814039408866996 K£º7NoiseK:4
yeast1:0.7070754857657822 K£º4NoiseK:2
vehicle1:0.7356873720594651 K£º6NoiseK:2
glass0123vs456:0.981534090909091 K£º3NoiseK:7
ecoli1:0.9319098793363499 K£º8NoiseK:3
newthyroid1:0.9916666666666668 K£º2NoiseK:8
newthyroid2:0.9944444444444445 K£º2NoiseK:2
ecoli2:0.9484221918432445 K£º3NoiseK:2
glass6:0.9504504504504505 K£º7NoiseK:9
yeast3:0.9294003716409378 K£º7NoiseK:3
ecoli3:0.9408508977361437 K£º3NoiseK:2
glass016v2:0.8514285714285714 K£º5NoiseK:6
yeast1v7:0.8388326493388053 K£º5NoiseK:9
glass4:0.9702439024390245 K£º7NoiseK:2
glass5:0.9878048780487806 K£º2NoiseK:4
yeast2v8:0.8343443197755962 K£º6NoiseK:9
yeast4:0.8963789868667916 K£º6NoiseK:6
yeast6:0.9280200112499362 K£º2NoiseK:2
