glass1:0.8005158730158731 K£º7NoiseK:2
pima:0.8009993011879806 K£º8NoiseK:3
glass0:0.8366995073891624 K£º2NoiseK:1
yeast1:0.7608870533775065 K£º6NoiseK:3
vehicle1:0.789130866807611 K£º9NoiseK:2
glass0123vs456:0.9501325757575756 K£º3NoiseK:9
ecoli1:0.9462877073906485 K£º5NoiseK:3
newthyroid1:0.986111111111111 K£º5NoiseK:4
newthyroid2:0.9797619047619047 K£º9NoiseK:9
ecoli2:0.9441330599225337 K£º6NoiseK:4
glass6:0.963963963963964 K£º2NoiseK:7
yeast3:0.9584151373836999 K£º8NoiseK:7
ecoli3:0.9426658860265418 K£º4NoiseK:4
glass016v2:0.8428571428571429 K£º4NoiseK:6
yeast1v7:0.8766917464660283 K£º6NoiseK:9
glass4:0.9676829268292684 K£º6NoiseK:6
glass5:0.9902439024390244 K£º2NoiseK:3
yeast2v8:0.8513937587657784 K£º3NoiseK:8
yeast4:0.9018621511526167 K£º7NoiseK:5
yeast6:0.9328266316668655 K£º6NoiseK:6
