glass1:0.7915917107583774 K£º2NoiseK:4
pima:0.8374723969252271 K£º3NoiseK:3
glass0:0.8432793807178044 K£º2NoiseK:3
yeast1:0.785751907728814 K£º3NoiseK:6
vehicle1:0.7360554381019497 K£º3NoiseK:2
glass0123vs456:0.9748484848484849 K£º2NoiseK:3
ecoli1:0.9452469834087482 K£º2NoiseK:2
newthyroid1:1.0 3£º4NoiseK:3
newthyroid2:1.0 3£º4NoiseK:2
ecoli2:0.9515641376167693 K£º2NoiseK:3
glass6:0.9603603603603604 K£º5NoiseK:4
yeast3:0.9676774092771627 K£º6NoiseK:7
ecoli3:0.9543715846994536 K£º4NoiseK:4
glass016v2:0.8300000000000001 K£º3NoiseK:7
yeast1v7:0.841764705882353 K£º3NoiseK:5
glass4:0.9489430894308942 K£º2NoiseK:6
glass5:0.9585365853658537 K£º3NoiseK:7
yeast2v8:0.9039446002805048 K£º5NoiseK:8
yeast4:0.8796040766329014 K£º3NoiseK:3
yeast6:0.9466793938670802 K£º2NoiseK:2
